OBJECTID,STATEFP10,COUNTYFP10,TRACTCE10,BLKGRPCE10,GEOID10,NAMELSAD10,geoname,Population,Households,Housing_Units,Vacancy_Rate,Pct_OwnerOccupiedUnits,White,African_American,AmerIn_AlaskaNative,Asian,NatHawaiian_PacIslander,Some_other_race,Two_or_more_races,Hispanic,OwnerOccupiedUnits,GroupQuartersPop,Age0_17,Age18_34,Age35_64,Age65andOver,OnePersonHouseholds,TwoPersonHouseholds,ThreePersonHouseholds,FourPersonHouseholds,FivePersonHouseholds,SixPersonHouseholds,SevenOrMorePersonHouseholds,SqMi,PopSqMi,Pop_2010,Pop_Change,MedianAge,SHAPESTArea,SHAPESTLength
3135,37,119,005816,2,371190058162,Block Group 2,"Block Group 2, Census Tract 58.16, Mecklenburg County, North Carolina",1024,487,523,0.06883365,0.36124402,704,110,44,71,0,32,63,47,487,0,102,290,355,277,147,259,41,21,19,0,0,0.44955768,2277.79447567,853,-32,43.9,12532898.8013355,18235.2165444282
3136,37,119,005825,2,371190058252,Block Group 2,"Block Group 2, Census Tract 58.25, Mecklenburg County, North Carolina",1783,680,717,0.05160391,0.53023256,1050,501,21,69,0,84,58,208,680,107,518,389,609,267,217,268,78,49,29,39,0,1.14252359,1560.58046906,1863,162,34.5,31851602.1788602,33351.4418664708
3137,37,119,001300,3,371190013003,Block Group 3,"Block Group 3, Census Tract 13, Mecklenburg County, North Carolina",545,241,280,0.13928571,0.51310861,458,75,0,0,0,0,12,37,241,60,105,192,213,35,104,79,24,23,11,0,0,0.14615421,3728.93808533,538,126,33.7,4074529.18061758,8835.60505252906
3138,37,119,005847,3,371190058473,Block Group 3,"Block Group 3, Census Tract 58.47, Mecklenburg County, North Carolina",961,438,438,0,0.74074074,392,184,0,359,0,0,26,16,438,0,189,145,402,225,180,131,62,53,12,0,0,0.4338837,2214.87924068,643,-16,42.9,12095935.0619912,21880.1063560227
3139,37,119,003015,2,371190030152,Block Group 2,"Block Group 2, Census Tract 30.15, Mecklenburg County, North Carolina",2119,789,789,0,0.95958084,1877,207,0,27,0,0,8,264,789,7,473,266,1033,347,91,363,198,97,28,12,0,0.81636651,2595.64787879,1741,-2,46.1,22758901.21246,23441.6481712346
3140,37,119,004600,1,371190046001,Block Group 1,"Block Group 1, Census Tract 46, Mecklenburg County, North Carolina",1285,517,541,0.04436229,0.59891107,28,1254,0,0,0,0,3,10,517,0,167,278,525,315,207,180,84,19,17,0,10,0.46197069,2781.561748,1249,51,53,12878952.0650336,16599.4051738554
3141,37,119,003902,2,371190039022,Block Group 2,"Block Group 2, Census Tract 39.02, Mecklenburg County, North Carolina",1404,602,636,0.05345912,0.26111111,85,1319,0,0,0,0,0,0,602,0,367,228,504,305,231,206,100,48,9,8,0,0.60174977,2333.19574015,1451,97,35.9,16775753.7354518,24957.1636393168
3142,37,119,001917,2,371190019172,Block Group 2,"Block Group 2, Census Tract 19.17, Mecklenburg County, North Carolina",2364,745,785,0.05095541,0.54518072,976,879,0,0,0,443,66,554,745,8,676,618,730,340,156,266,92,131,48,27,25,0.68506745,3450.75510448,1692,188,32.9,19098507.918592,21284.2541961317
3143,37,119,001912,1,371190019121,Block Group 1,"Block Group 1, Census Tract 19.12, Mecklenburg County, North Carolina",3598,1035,1164,0.11082474,0.40388548,472,1479,0,1297,0,309,41,409,1035,0,931,1400,883,384,306,189,207,135,126,72,0,0.41815033,8604.56094821,2823,320,29,11657315.5570455,21757.1046592447
3144,37,119,005605,2,371190056052,Block Group 2,"Block Group 2, Census Tract 56.05, Mecklenburg County, North Carolina",1421,787,827,0.04836759,0.09219089,407,703,0,109,0,122,80,89,787,0,167,760,404,90,437,249,90,11,0,0,0,0.31560948,4502.39961106,1467,115,28.9,8798652.15886895,13521.4881052459
